"iteration","fitness"
0,7089.981633065097
1,7089.981633065097
2,7088.900356020856
3,7088.482081694142
4,7086.993400249751
5,7086.738760967088
6,7085.072942418743
7,7083.380748485358
8,7082.561430356582
9,7081.525352223299
10,7080.3168011215885
11,7079.351797316267
12,7079.351797316267
13,7078.387954492855
14,7077.244816048926
15,7077.069301617334
16,6806.66377384343
17,6806.252220515383
18,6804.437870892488
19,6804.404225108462
20,6802.349932021158
21,6799.831681971641
22,6141.390204268581
23,6139.632989432153
24,6139.40240313132
25,6139.274386284521
26,6138.965642511903
27,6138.965642511903
28,6137.4831694033255
29,6137.4831694033255
30,6137.294473010424
31,6135.958905705594
32,6135.013903664212
33,6135.013903664212
34,6135.013903664212
35,6135.013903664212
36,6135.013903664212
37,6135.013903664212
38,6135.013903664212
39,6135.013903664212
40,6134.1821387604605
41,6132.349270628693
42,6131.265490282462
43,6131.265490282462
44,6131.265490282462
45,6131.265490282462
46,6131.265490282462
47,6131.202077800606
48,6131.202077800606
49,6130.703148905301
50,6130.687533655741
51,6130.687533655741
52,6130.267765350393
53,6130.267765350393
54,6130.267765350393
55,6130.267765350393
56,5021.357478273442
57,5021.357478273442
58,5021.357478273442
59,5021.357478273442
60,5021.357478273442
61,5021.357478273442
62,5021.357478273442
63,5021.338259417668
64,5021.103210487472
65,5021.103210487472
66,5021.103210487472
67,5021.103210487472
68,5021.103210487472
69,5021.103210487472
70,5021.103210487472
71,5021.020932223837
72,5020.220669077175
73,5017.892825859243
74,5016.083652862955
75,5016.083652862955
76,5016.083652862955
77,5015.0447058175
78,5015.0447058175
79,5015.0447058175
80,5014.81097313837
81,5014.4048279729295
82,5014.265359357621
83,5014.265359357621
84,5014.265359357621
85,5014.265359357621
86,5014.265359357621
87,5014.265359357621
88,5014.000606556379
89,5014.000606556379
90,5013.805068117203
91,5013.805068117203
92,5012.770281558665
93,5012.770281558665
94,5012.770281558665
95,5012.770281558665
96,5012.770281558665
97,5012.418399056627
98,5012.418399056627
99,5012.418399056627
100,5011.453455848558
101,5010.059976085652
102,5009.768738251124
103,5009.768738251124
104,5009.768738251124
105,5009.564644569577
106,5009.564644569577
107,5009.564644569577
108,5009.564644569577
109,5009.260624490696
110,5009.260624490696
111,5009.260624490696
112,5009.253391720797
113,5009.253391720797
114,5008.603647954108
115,5008.589121770162
116,5008.589121770162
117,5007.404459143708
118,5007.404459143708
119,5007.404459143708
120,5007.225613143775
121,4502.969175566498
122,4502.969175566498
123,4502.929817938492
124,4502.929817938492
125,4502.929817938492
126,4502.929817938492
127,4502.929817938492
128,4502.929817938492
129,4502.929817938492
130,4502.835585839881
131,4502.835585839881
132,4502.835585839881
133,4502.835585839881
134,4502.835585839881
135,4502.835585839881
136,4502.835585839881
137,4502.835585839881
138,4502.444947172423
139,4502.444947172423
140,4502.444947172423
141,4502.444947172423
142,4501.64467702288
143,4501.64467702288
144,4501.64467702288
145,4501.64467702288
146,4501.64467702288
147,4501.64467702288
148,4501.64467702288
149,4501.196275609546
150,4501.196275609546
151,4501.196275609546
152,4501.196275609546
153,4501.196275609546
154,4501.196275609546
155,4501.196275609546
156,4501.196275609546
157,4501.196275609546
158,4501.196275609546
159,4501.196275609546
160,4501.196275609546
161,4501.196275609546
162,4501.196275609546
163,4501.196275609546
164,4501.196275609546
165,4501.196275609546
166,4501.196275609546
167,4501.196275609546
168,4501.196275609546
169,4501.196275609546
170,4501.196275609546
171,4501.196275609546
172,4501.196275609546
173,4501.196275609546
