"iteration","fitness"
0,206699.34059190864
1,204362.53244898104
2,203201.63045994221
3,199172.2462282228
4,198051.03956292017
5,190826.4760688181
6,187104.48063380257
7,179736.31739602273
8,179028.0554788323
9,172789.68568779627
10,152042.81789198166
11,134506.94714391115
12,121274.63712300794
13,110956.99308103485
14,103394.29857647959
15,93066.57152284976
16,81779.80252806043
17,75169.93587968516
18,68776.7958007436
19,60015.23352762519
20,59753.84078561962
21,59164.16226822999
22,56698.81329764673
23,49248.28568676278
24,43965.35094124213
25,42477.65996172519
26,41354.2368978136
27,36385.17377867898
28,34523.04981640491
29,33686.33269565353
30,31718.931550214482
31,29425.397863788672
32,28683.614805841786
33,27350.74467349995
34,25643.64522208042
35,24090.226834828194
36,21771.327402435283
37,21268.495911663576
38,21118.282416341084
39,20382.421310210735
40,20297.60966717041
41,19585.336194604144
42,19500.034465220717
43,19454.52938656466
44,18868.59743952895
45,18737.723003105588
46,18657.64946172867
47,18303.368731537295
48,18287.287965599608
49,18191.11280646499
50,18158.51482284552
51,17851.34185433573
52,17758.999072121653
53,17695.44106419836
54,17678.849724922144
55,17467.113352482247
56,17343.26334145579
57,17298.368722724386
58,17281.79938323295
59,17281.79938323295
60,17131.47434916201
61,16580.71530502708
62,16580.71530502708
63,16449.996121416378
64,16449.996121416378
65,16264.13280637381
66,16264.13280637381
67,16264.13280637381
68,16082.612295602132
69,16082.612295602132
70,15876.729906853185
71,15863.669197961397
72,15857.983017383156
73,15857.983017383156
74,15857.983017383156
75,15857.983017383156
76,15857.983017383156
77,15857.983017383156
78,15516.691507874526
79,15516.691507874526
80,15516.691507874526
81,15482.895902892898
82,15482.895902892898
83,15482.895902892898
84,15482.895902892898
85,15482.895902892898
86,15481.91844344052
87,15032.169236691003
88,14960.095620804654
89,14952.26286983124
90,14952.26286983124
91,14952.26286983124
92,14952.26286983124
93,14952.26286983124
94,14952.26286983124
95,14952.26286983124
96,14952.26286983124
97,14952.26286983124
98,14952.26286983124
99,14952.26286983124
100,14952.26286983124
101,14952.26286983124
102,14952.26286983124
103,14952.26286983124
104,14929.54175039865
105,14929.54175039865
106,14929.54175039865
107,14929.54175039865
108,14929.54175039865
109,14929.54175039865
110,14929.54175039865
111,14929.54175039865
112,14929.54175039865
113,14929.54175039865
114,14929.54175039865
115,14929.54175039865
116,14929.54175039865
117,14929.54175039865
118,14929.54175039865
119,14929.54175039865
120,14825.966512334166
121,14825.966512334166
122,14825.966512334166
123,14825.966512334166
124,14825.966512334166
125,14825.966512334166
126,14825.966512334166
127,14825.966512334166
128,14825.966512334166
129,14825.966512334166
130,14825.53482616133
131,14825.53482616133
132,14825.53482616133
133,14825.53482616133
134,14825.53482616133
135,14825.53482616133
136,14825.53482616133
137,14825.53482616133
138,14825.53482616133
139,14825.53482616133
140,14825.53482616133
141,14825.53482616133
142,14825.53482616133
143,14825.53482616133
144,14825.53482616133
145,14825.53482616133
146,14825.53482616133
147,14825.53482616133
148,14825.53482616133
149,14825.53482616133
150,14825.53482616133
151,14825.53482616133
152,14825.53482616133
153,14825.53482616133
154,14825.53482616133
155,14825.53482616133
156,14825.53482616133
157,14825.53482616133
158,14825.53482616133
159,14825.53482616133
160,14825.53482616133
161,14825.53482616133
162,14825.53482616133
163,14825.53482616133
164,14825.53482616133
165,14825.53482616133
166,14825.53482616133
167,14825.53482616133
168,14825.53482616133
169,14825.53482616133
170,14825.53482616133
171,14825.53482616133
172,14825.53482616133
173,14825.53482616133
174,14825.53482616133
175,14825.53482616133
176,14825.53482616133
177,14825.53482616133
178,14825.53482616133
179,14825.53482616133
180,14825.53482616133
181,14825.53482616133
182,14825.53482616133
183,14825.53482616133
184,14825.53482616133
185,14825.53482616133
186,14825.53482616133
187,14825.53482616133
188,14825.53482616133
189,14825.53482616133
190,14825.53482616133
191,14825.53482616133
192,14825.53482616133
193,14825.53482616133
194,14825.53482616133
195,14825.53482616133
196,14825.53482616133
197,14825.53482616133
198,14825.53482616133
199,14825.53482616133
200,14825.53482616133
201,14825.53482616133
202,14825.53482616133
